Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Depreciation,Depreciation_Percentage,Vehicle_Age
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,2.2399999999999998,40.07155635062611,4
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,4.789999999999999,50.20964360587001,5
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,2.5999999999999996,26.395939086294412,1
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,1.3000000000000003,31.325301204819283,7
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,2.2700000000000005,33.04221251819506,4
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,0.5800000000000001,5.900305188199391,0
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,1.3699999999999992,16.871921182266004,3
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,2.1099999999999994,24.506387921022064,3
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,0.14000000000000057,1.5748031496063055,2
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,1.4699999999999998,16.479820627802688,3
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,0.75,20.833333333333332,1
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,3.530000000000001,34.00770712909442,3
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,2.4399999999999995,24.547283702213278,3
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,1.6100000000000003,20.881971465629057,3
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,4.96,68.79334257975034,9
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,3.039999999999999,28.17423540315106,2
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,3.539999999999999,32.80815569972196,3
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,3.039999999999999,28.17423540315106,2
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,1.8399999999999999,36.149312377210215,3
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,5.33,66.79197994987469,8
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,1.1,27.848101265822784,2
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,0.8099999999999996,14.185639229422058,1
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,3.6099999999999994,45.06866416978776,7
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,0.96,27.74566473988439,4
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,1.5100000000000002,34.240362811791385,5
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,1.9900000000000002,39.879759519038075,7
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,1.7199999999999998,29.301533219761495,5
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,0.4900000000000002,7.550077041602468,1
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,2.0,50.632911392405056,8
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,2.9300000000000006,28.227360308285164,3
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,2.8800000000000003,48.16053511705686,6
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,2.5399999999999996,51.94274028629856,7
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,2.54,33.91188251001335,4
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,3.9499999999999993,39.69849246231155,4
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,2.5600000000000005,31.761786600496283,4
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,4.79,61.88630490956072,7
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,2.55,35.416666666666664,3
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,1.9299999999999997,84.64912280701753,15
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,0.7599999999999998,20.212765957446805,2
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,5.73,71.80451127819549,15
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,2.0200000000000005,25.66709021601017,2
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,1.4300000000000002,35.92964824120604,4
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,5.2,72.72727272727273,10
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,2.5600000000000005,31.761786600496283,4
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,1.44,53.53159851301115,6
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,4.539999999999999,37.707641196013284,4
